Date,State,District,Water_Level_m
2018-10-01,Maharashtra,Nagpur,24.45452177401444
2018-11-01,Maharashtra,Nagpur,23.00399645764149
2018-12-01,Maharashtra,Nagpur,20.812410423628464
2019-01-01,Maharashtra,Nagpur,18.362207241265285
2019-02-01,Maharashtra,Nagpur,15.066245455474107
2019-03-01,Maharashtra,Nagpur,13.3673419432824
2019-04-01,Maharashtra,Nagpur,13.816024661156165
2019-05-01,Maharashtra,Nagpur,13.617227825704743
2019-06-01,Maharashtra,Nagpur,16.058833690207635
2019-07-01,Maharashtra,Nagpur,18.107852164932996
2019-08-01,Maharashtra,Nagpur,21.01004110073326
2019-09-01,Maharashtra,Nagpur,23.346790487064162
2019-10-01,Maharashtra,Nagpur,23.500539288405584
2019-11-01,Maharashtra,Nagpur,22.886719844772916
2019-12-01,Maharashtra,Nagpur,20.283893468718947
2020-01-01,Maharashtra,Nagpur,17.29919589859594
2020-02-01,Maharashtra,Nagpur,15.333880560642527
2020-03-01,Maharashtra,Nagpur,13.259795552014943
2020-04-01,Maharashtra,Nagpur,13.451497366752362
2020-05-01,Maharashtra,Nagpur,13.065540817514691
2020-06-01,Maharashtra,Nagpur,16.07534899512848
2020-07-01,Maharashtra,Nagpur,17.105365308978694
2020-08-01,Maharashtra,Nagpur,20.59095580177879
2020-09-01,Maharashtra,Nagpur,22.327893020751283
2020-10-01,Maharashtra,Nagpur,22.96922143220069
2020-11-01,Maharashtra,Nagpur,21.901612498965545
2020-12-01,Maharashtra,Nagpur,20.1100403327179
2021-01-01,Maharashtra,Nagpur,17.055154251148213
2021-02-01,Maharashtra,Nagpur,15.546835061529723
2021-03-01,Maharashtra,Nagpur,13.633465669875592
2021-04-01,Maharashtra,Nagpur,13.185228943336584
2021-05-01,Maharashtra,Nagpur,13.827875821148524
2021-06-01,Maharashtra,Nagpur,15.200877005280532
2021-07-01,Maharashtra,Nagpur,18.75175720490201
2021-08-01,Maharashtra,Nagpur,20.535708694273943
2021-09-01,Maharashtra,Nagpur,21.9465151407667
2021-10-01,Maharashtra,Nagpur,23.81491566923672
2021-11-01,Maharashtra,Nagpur,23.093919460664345
2021-12-01,Maharashtra,Nagpur,20.364732427535962
2022-01-01,Maharashtra,Nagpur,18.047294296714398
2022-02-01,Maharashtra,Nagpur,14.892121057639802
2022-03-01,Maharashtra,Nagpur,13.773562159087932
2022-04-01,Maharashtra,Nagpur,12.31443848846099
2022-05-01,Maharashtra,Nagpur,13.090345066451148
2022-06-01,Maharashtra,Nagpur,15.41332425910421
2022-07-01,Maharashtra,Nagpur,17.864209137285542
2022-08-01,Maharashtra,Nagpur,19.681937912328674
2022-09-01,Maharashtra,Nagpur,21.536555630991515
2022-10-01,Maharashtra,Nagpur,21.67121537214197
2022-11-01,Maharashtra,Nagpur,21.273385127990593
2022-12-01,Maharashtra,Nagpur,19.15535076462429
2023-01-01,Maharashtra,Nagpur,16.590061313150578
2023-02-01,Maharashtra,Nagpur,14.98158357707865
2023-03-01,Maharashtra,Nagpur,12.90558878088562
2023-04-01,Maharashtra,Nagpur,12.856262388649371
2023-05-01,Maharashtra,Nagpur,12.569849795294068
2023-06-01,Maharashtra,Nagpur,13.894351688143061
2023-07-01,Maharashtra,Nagpur,17.281950049936267
2023-08-01,Maharashtra,Nagpur,19.237986992308826
2023-09-01,Maharashtra,Nagpur,20.862593286143287
2023-10-01,Maharashtra,Nagpur,22.222081097054573
2023-11-01,Maharashtra,Nagpur,21.108694559201567
2023-12-01,Maharashtra,Nagpur,
2024-01-01,Maharashtra,Nagpur,16.65062487517737
2014-01-01,Maharashtra,Wardha,26.037870610899564
2014-02-01,Maharashtra,Wardha,23.090478653023908
2014-03-01,Maharashtra,Wardha,20.036447386878812
2014-04-01,Maharashtra,Wardha,19.402008792306724
2014-05-01,Maharashtra,Wardha,21.45775541024462
2014-06-01,Maharashtra,Wardha,22.332255980969872
2014-07-01,Maharashtra,Wardha,25.218303843004055
2014-08-01,Maharashtra,Wardha,27.360076078543834
2014-09-01,Maharashtra,Wardha,30.173690573185286
2014-10-01,Maharashtra,Wardha,30.377751839691285
2014-11-01,Maharashtra,Wardha,29.108287413393207
2014-12-01,Maharashtra,Wardha,27.396130286523793
2015-01-01,Maharashtra,Wardha,24.594219815131027
2015-02-01,Maharashtra,Wardha,21.416316426113507
2015-03-01,Maharashtra,Wardha,21.534342598382132
2015-04-01,Maharashtra,Wardha,18.955961993207797
2015-05-01,Maharashtra,Wardha,19.979398184793858
2015-06-01,Maharashtra,Wardha,22.03035281599181
2015-07-01,Maharashtra,Wardha,24.4948819523712
2015-08-01,Maharashtra,Wardha,27.010431753931552
2015-09-01,Maharashtra,Wardha,28.99390045033187
2015-10-01,Maharashtra,Wardha,29.82839603482558
2015-11-01,Maharashtra,Wardha,28.86039898037944
2015-12-01,Maharashtra,Wardha,25.919559699621995
2016-01-01,Maharashtra,Wardha,24.64327212678377
2016-02-01,Maharashtra,Wardha,22.501077075482506
2016-03-01,Maharashtra,Wardha,19.56063984626518
2016-04-01,Maharashtra,Wardha,19.3246792844934
2016-05-01,Maharashtra,Wardha,20.109472192317924
2016-06-01,Maharashtra,Wardha,22.477956008382748
2016-07-01,Maharashtra,Wardha,24.653406321250372
2016-08-01,Maharashtra,Wardha,26.91346398338225
2016-09-01,Maharashtra,Wardha,28.749481556620548
2016-10-01,Maharashtra,Wardha,29.113797779550517
2016-11-01,Maharashtra,Wardha,28.229221550145844
2016-12-01,Maharashtra,Wardha,26.83999699950168
2017-01-01,Maharashtra,Wardha,23.985316572778967
2017-02-01,Maharashtra,Wardha,22.847849187572937
2017-03-01,Maharashtra,Wardha,20.21967651178991
2017-04-01,Maharashtra,Wardha,19.71665371259535
2017-05-01,Maharashtra,Wardha,19.551114792625302
2017-06-01,Maharashtra,Wardha,21.585034355382792
2017-07-01,Maharashtra,Wardha,23.918948046190945
2017-08-01,Maharashtra,Wardha,
2017-09-01,Maharashtra,Wardha,27.833204540356963
2017-10-01,Maharashtra,Wardha,28.369179171362276
2017-11-01,Maharashtra,Wardha,27.740684011789767
2017-12-01,Maharashtra,Wardha,26.865523156615087
2018-01-01,Maharashtra,Wardha,23.195624633986142
2018-02-01,Maharashtra,Wardha,20.95473091399729
2018-03-01,Maharashtra,Wardha,19.107626046449642
2018-04-01,Maharashtra,Wardha,
2018-05-01,Maharashtra,Wardha,18.45784319214384
2018-06-01,Maharashtra,Wardha,20.806577987007827
2018-07-01,Maharashtra,Wardha,23.542281001417656
2018-08-01,Maharashtra,Wardha,26.099679297911493
2018-09-01,Maharashtra,Wardha,27.79043329227986
2018-10-01,Maharashtra,Wardha,
2018-11-01,Maharashtra,Wardha,27.874704159059075
2018-12-01,Maharashtra,Wardha,25.716090332662475
2019-01-01,Maharashtra,Wardha,
2019-02-01,Maharashtra,Wardha,21.164638080987594
2019-03-01,Maharashtra,Wardha,18.640861209285205
2019-04-01,Maharashtra,Wardha,17.9849307801607
2019-05-01,Maharashtra,Wardha,18.746005541167566
2019-06-01,Maharashtra,Wardha,20.924863300535357
2019-07-01,Maharashtra,Wardha,22.898787686553987
2019-08-01,Maharashtra,Wardha,26.440233241464732
2019-09-01,Maharashtra,Wardha,26.59638182607008
2019-10-01,Maharashtra,Wardha,27.84974207894202
2019-11-01,Maharashtra,Wardha,27.545922396899996
2019-12-01,Maharashtra,Wardha,
2020-01-01,Maharashtra,Wardha,23.455193468341097
2020-02-01,Maharashtra,Wardha,20.925619424832426
2020-03-01,Maharashtra,Wardha,18.38856083650323
2020-04-01,Maharashtra,Wardha,18.213925032468225
2020-05-01,Maharashtra,Wardha,18.766000867571933
2020-06-01,Maharashtra,Wardha,19.607306787635476
2020-07-01,Maharashtra,Wardha,23.462419927880948
2020-08-01,Maharashtra,Wardha,26.261706368168188
2020-09-01,Maharashtra,Wardha,27.549370573179793
2020-10-01,Maharashtra,Wardha,27.93239015982556
2020-11-01,Maharashtra,Wardha,26.904922388743174
2020-12-01,Maharashtra,Wardha,25.50446517096111
2021-01-01,Maharashtra,Wardha,
2021-02-01,Maharashtra,Wardha,20.6768618184674
2021-03-01,Maharashtra,Wardha,19.021609732420547
2021-04-01,Maharashtra,Wardha,18.268650780876044
2021-05-01,Maharashtra,Wardha,18.812968367300105
2021-06-01,Maharashtra,Wardha,19.762041169268628
2021-07-01,Maharashtra,Wardha,23.561620106493287
2021-08-01,Maharashtra,Wardha,25.546875139189492
2021-09-01,Maharashtra,Wardha,27.6067089846668
2021-10-01,Maharashtra,Wardha,27.75105509473589
2021-11-01,Maharashtra,Wardha,27.392700617224598
2021-12-01,Maharashtra,Wardha,24.379753143764045
2022-01-01,Maharashtra,Wardha,22.06495238784835
2022-02-01,Maharashtra,Wardha,20.195897778612597
2022-03-01,Maharashtra,Wardha,18.66712872804165
2022-04-01,Maharashtra,Wardha,17.974570092613938
2022-05-01,Maharashtra,Wardha,
2022-06-01,Maharashtra,Wardha,20.642655513890677
2022-07-01,Maharashtra,Wardha,22.8770776425193
2022-08-01,Maharashtra,Wardha,24.355836559973383
2022-09-01,Maharashtra,Wardha,26.455623875149623
2022-10-01,Maharashtra,Wardha,27.235296844544575
2022-11-01,Maharashtra,Wardha,26.809150858071433
2022-12-01,Maharashtra,Wardha,24.994913801183376
2023-01-01,Maharashtra,Wardha,21.57582353170472
2023-02-01,Maharashtra,Wardha,19.99683742769219
2023-03-01,Maharashtra,Wardha,17.819699523537743
2023-04-01,Maharashtra,Wardha,17.351124484132903
2023-05-01,Maharashtra,Wardha,17.236791658642886
2023-06-01,Maharashtra,Wardha,19.67692063759169
2023-07-01,Maharashtra,Wardha,22.070162085448455
2023-08-01,Maharashtra,Wardha,25.072663363200554
2023-09-01,Maharashtra,Wardha,25.988827776784266
2023-10-01,Maharashtra,Wardha,27.77236963513508
2023-11-01,Maharashtra,Wardha,26.371704769784767
2023-12-01,Maharashtra,Wardha,25.31825595711235
2024-01-01,Maharashtra,Wardha,21.01669902680878
